"Data Desa","Data Desa","Data Desa","Data Desa","Data Desa","Data Desa","Data Desa","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia","Kacang-kacangan dan Biji atau Serealia"
"#","ID","Dusun","Desa","Kecamatan","Kabupaten","Propinsi","Varietas","Nama Lokal","Titik Koordinat","Kategori","Jenis","Sumber Benih","Luas Lahan (Ha)","Pola Tanam","Sistem Budidaya","Pengairan","Kepemilikan","Pemanfaatan Lahan","Sistem Pemupukan","Pengendalian Hama"
"1","#24258","Belabaya","Waienga","Lebatukan","Lembata","Nusa Tenggara Timur","Jagung Kalingga","Wata/Wate","123.57091, -8.36322, 13, 0","Budidaya","Lokal","Tangkar sendiri","0.25","Polikultur","Kimia","Tadah Hujan","Milik Pribadi","menjual","Organik","Kimia"
"2","#24578","Waiote","Waienga","Lebatukan","Lembata","Nusa Tenggara Timur","Lamtoro Agung Jagung Kalingga","Lamatoro Wata/Wate","123.56731, -8.36552, 39, 3 123.56584, -8.36614, 17, 2","Alam Liar Budidaya","Lokal Lokal","Tidak ada Tangkar sendiri","0.25 0.5","Polikultur Polikultur","Tidak ada Semi Organik","Tadah Hujan Tadah Hujan","Milik Pribadi Milik Pribadi","Mengambil hasil menjual","Tidak ada Organik","Tidak ada Kimia"
"3","#24579","Titehena","Waienga","Lebatukan","Lembata","Nusa Tenggara Timur","Jagung Kalingga","Wata/Wate","123.58420, -8.35605, 18, 2","Budidaya","Lokal","Tangkar sendiri","0.25","Polikultur","Kimia","Tadah Hujan","Milik Pribadi","menjual","Organik","Kimia"
"4","#24580","Lewoledo","Waienga","Lebatukan","Lembata","Nusa Tenggara Timur","Jagung Kalingga Lamtoro Agung","Wata/Wate Lamatoro","123.56396, -8.36701, 21, 1  123.56396, -8.36701, 21, 1 ","Budidaya Alam Liar","Lokal Lokal","Tangkar sendiri Tidak ada","0.25 0.25","Polikultur Polikultur","Kimia Kimia","Tadah Hujan Tadah Hujan","Milik Pribadi Milik Pribadi","menjual Mengambil hasil","Organik Tidak ada","Kimia Tidak ada"
